NPC_ID,State,order,key,AnswerCheck,Dialogue_Kor,Dialogue_Eng
1,1,0,110,0,남자를 위로해주자. “괜찮으십니까”,
1,1,1,111,1,단 한명만이 닻을 풀어 익사했다.,
1,1,2,112,2,남자에게 말을 걸어선 안된다. 어서 도망치자,
1,1,3,113,3, 위대한 빨간 등대를 부수자.,
1,2,0,120,0,남자가 든 스카프를 가지고 와 불태운다.,
1,2,1,121,1,스카프는 붉은 등대에 물들었다.,
1,2,2,122,2,스카프를 다시 그의 목에 매준다.,
1,3,0,130,0,그에게 다가간다.,
1,3,1,131,1,도망쳐,
1,3,2,132,2,도망칠거야? 도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐도망쳐,
3,1,0,310,0,물품을 받는다.,
3,1,1,311,1,수첩의 내용에 따라 대화를 시도한다.,
5,3,0,530,0,경비원에게 받은 머리를 준다.,
6,1,0,610,0,노인에게 받은 그림을 준다.,
6,2,0,620,0,미술관의 화재에 대해 물어본다.,
6,3,0,630,0,미술관을 불태운 남자에 대해 물어본다.,
7,1,0,710,0,"귀를 막고 외친다. ""너는 거짓말쟁이야.""",
7,1,1,711,1,그림을 찢어선 안돼.,
7,1,2,712,2,"소녀를 달래본다. ""괜찮으십니까?""",
7,1,3,713,3,무언가 이상하다. 도망친다.,
7,2,0,720,0,"소녀에게 말한다. ""너는 눈물을 흘릴 수 없다.""",
7,2,1,721,1,소녀를 달래본다.,
7,2,2,722,2,소녀에게 무슨 일이 있었는지 물어본다.,
8,1,0,810,0,미술관의 화재사건에 대해 물어본다.,
